sample,category,value
01115157-TC3,chromothripsis (AR),no
01115183-TA1,chromothripsis (AR),no
01115202-TC2,chromothripsis (AR),no
01115244-TA3,chromothripsis (AR),no
01115248-TA3,chromothripsis (AR),no
01115249-TC5,chromothripsis (AR),no
01115257-TA4,chromothripsis (AR),no
01115263-TA3,chromothripsis (AR),no
01115284-TA9,chromothripsis (AR),no
01115326-TA3,chromothripsis (AR),no
01115374-TA2,chromothripsis (AR),no
01115378-TA2,chromothripsis (AR),no
01115414-TA1,chromothripsis (AR),no
01115444-TA5,chromothripsis (AR),no
01115468-TA3,chromothripsis (AR),no
01115503-TC2,chromothripsis (AR),no
01115525-TA1,chromothripsis (AR),no
01115531-TA4,chromothripsis (AR),no
01115549-TA4,chromothripsis (AR),no
01115554-TA2,chromothripsis (AR),no
01115556-TC1,chromothripsis (AR),no
01115569-TC1,chromothripsis (AR),no
01115574-TC3,chromothripsis (AR),no
01115576-TC2,chromothripsis (AR),no
01115577-TC1,chromothripsis (AR),no
01115578-TC4,chromothripsis (AR),no
01115581-TA3,chromothripsis (AR),no
01115589-TC2,chromothripsis (AR),no
01115606-TA2,chromothripsis (AR),no
01115644-TA1,chromothripsis (AR),no
01115655-TA1,chromothripsis (AR),no
01115655-TC1,chromothripsis (AR),no
01115668-TA4,chromothripsis (AR),no
01115669-TA3,chromothripsis (AR),no
06115115-T,chromothripsis (AR),no
06115117-T,chromothripsis (AR),no
06115118-T,chromothripsis (AR),no
6115233-T-C1,chromothripsis (AR),no
DTB-003-BL,chromothripsis (AR),no
DTB-005-BL,chromothripsis (AR),yes
DTB-008-BL,chromothripsis (AR),no
DTB-009-BL,chromothripsis (AR),no
DTB-011-BL,chromothripsis (AR),no
DTB-018-BL,chromothripsis (AR),no
DTB-019-PRO,chromothripsis (AR),no
DTB-020-BL,chromothripsis (AR),no
DTB-021-BL,chromothripsis (AR),no
DTB-022-BL,chromothripsis (AR),no
DTB-023-BL,chromothripsis (AR),no
DTB-024-PRO,chromothripsis (AR),no
DTB-034-BL,chromothripsis (AR),no
DTB-035-BL,chromothripsis (AR),no
DTB-036-BL,chromothripsis (AR),no
DTB-037-BL,chromothripsis (AR),yes
DTB-040-BL,chromothripsis (AR),no
DTB-042-BL,chromothripsis (AR),no
DTB-053-BL,chromothripsis (AR),no
DTB-055-PRO,chromothripsis (AR),no
DTB-059-BL,chromothripsis (AR),no
